2172,2005-07-28 00:00:00,1,5,"señal para collar antiladridos"
2187,2005-07-02 00:00:00,8,200,"a cuenta"
2187,2006-01-02 00:00:00,8,900,"a cuenta"
2191,2005-07-19 00:00:00,1,50,"anticipo residencia merlín julio"
2205,2006-12-09 00:00:00,8,72,"A CUENTA"
2219,2006-08-01 00:00:00,3,900,"Adiestramiento completo"
2414,2005-12-28 00:00:00,8,120,"A CUENTA"
2414,2006-01-09 00:00:00,8,30,"A CUENTA"
2417,2005-12-29 00:00:00,8,48,"A CUENTA"
2421,2005-12-30 00:00:00,8,45,"a cuenta"
2422,2005-12-30 00:00:00,8,100.3499984741211,"Adelanto"
55,2005-03-29 00:00:00,1,40,"CANCELA"
84,2017-12-26 00:00:00,8,15," a cuenta"
133,2014-09-10 00:00:00,8,400," a cuenta"
135,2005-10-31 00:00:00,8,100,"A CUENTA"
2334,2005-10-29 00:00:00,8,100,"Entrega de Reserva 1470"
2339,2005-11-03 00:00:00,8,200,"A CUENTA"
2339,2005-12-17 00:00:00,5,300," a cuenta"
2339,2006-01-24 00:00:00,5,300,"A CUENTA"
2120,2005-12-31 00:00:00,5,1,"a cuenta"
2126,2005-07-29 00:00:00,1,300,"Entrega de Reserva 1142"
2126,2005-09-08 00:00:00,1,463,"liqu. adiestramiento nero"
2132,2009-04-08 00:00:00,8,90,"adelanto residencia"
2133,2006-01-05 00:00:00,3,153,"a cuenta"
2135,2009-10-05 00:00:00,8,50,"debe 10 €"
2274,2005-12-09 00:00:00,8,50,"A CUENTA"
2274,2007-06-30 00:00:00,8,126,"PAGO ADELANTADO"
2274,2007-07-07 00:00:00,8,14,"adelanto"
2274,2008-07-31 00:00:00,9,62,"Anulación deuda"
2390,2005-12-17 00:00:00,8,280,"entrega a cuenta"
2395,2008-07-31 00:00:00,9,0.009999999776482582,"nunca vino a por la perra"
2396,2005-12-26 00:00:00,8,2,"a cuenta"
2402,2005-12-26 00:00:00,8,36,"a cuenta"
2431,2006-01-09 00:00:00,8,50,"A CUENTA"
2436,2006-01-31 00:00:00,8,120,"a cuenta"
2436,2006-02-03 00:00:00,8,40,"A CUENTA"
2437,2006-02-13 00:00:00,8,72,"A CUENTA"
2437,2009-03-02 00:00:00,3,180,"bono 15"
2438,2006-05-18 00:00:00,5,2784,"Pagó Patxy Guadalajara"
2438,2006-05-18 00:00:00,8,1,"ya te digo"
2339,2006-01-25 00:00:00,5,300,"a cuenta"
2339,2006-03-13 00:00:00,8,200,"Ultimo pago"
2340,2006-01-25 00:00:00,5,400,"a cuenta"
2340,2006-02-03 00:00:00,5,400,"A CUENTA"
2439,2006-02-09 00:00:00,3,450,"A CUENTA"
2439,2006-03-24 00:00:00,3,450,"Pago Final del adiestramiento"
2443,2008-07-31 00:00:00,8,1,"anulación deuda"
2445,2015-08-12 00:00:00,8,28,"a cuenta"
2448,2006-04-17 00:00:00,8,230,"Mes de marzo"
2422,2006-01-27 00:00:00,8,210,"A CUENTA"
2422,2006-03-03 00:00:00,8,210,"Mes de marzo"
2422,2006-04-11 00:00:00,8,105,"Total "
2429,2006-01-09 00:00:00,3,126,"A CUENTA"
1362,2005-03-30 00:00:00,1,32,"entrega a cuenta futura residencia Roco y Rona"
1363,2005-07-04 00:00:00,2,24,"YA TE DIGO"
1363,2005-10-03 00:00:00,8,12,"ya te digo"
1363,2008-03-31 00:00:00,5,122,"Pago deuda"
2470,2006-04-03 00:00:00,3,225,"Pagado Marzo y Abril"
2470,2006-05-08 00:00:00,3,75,"Pago mes de Mayo"
2470,2006-05-31 00:00:00,3,150,"Pago mes de Junio"
2470,2006-06-29 00:00:00,3,112,"Mes de Julio"
2699,2006-07-16 00:00:00,8,14,"Entrega de Reserva 2562"
2700,2006-07-19 00:00:00,8,,"Debe 98€ de su estancia del 11 al 17/07"
2700,2006-07-20 00:00:00,5,98,"liquida"
2700,2008-10-13 00:00:00,8,180,"BONO 15"
2470,2006-07-24 00:00:00,3,27,"Peluquería pluto"
2489,2008-07-14 00:00:00,8,5,"Sobrante por no cambio"
2489,2008-07-23 00:00:00,8,215,"pago deuda"
2489,2008-07-24 00:00:00,8,5,"Sobrante"
2767,2006-08-01 00:00:00,3,245,"Adelanto 50% residencia"
2767,2006-09-15 00:00:00,8,150,"descontada la parte de Angel"
2767,2006-09-27 00:00:00,2,505,"Parte de Angel"
2768,2006-08-03 00:00:00,8,29,"A CUENTA"
2790,2006-08-16 00:00:00,8,97,"a cuenta"
2801,2006-08-22 00:00:00,8,500,"1º plazo de adiestramiento Luky"
2801,2006-12-01 00:00:00,8,300,"Entrega de Reserva 3145"
2801,2006-12-29 00:00:00,8,150,"2ºplazo adiestramiento Beethoven"
2808,2006-08-24 00:00:00,3,400,"1º plazo de adiestramiento"
2325,2006-03-02 00:00:00,5,205,"a cuenta"
2325,2006-05-04 00:00:00,5,400,"Ingreso en Cuenta"
2325,2006-09-08 00:00:00,8,220,"entrega a cuenta"
2325,2006-11-10 00:00:00,5,220,"Mes de octubre"
2325,2006-12-07 00:00:00,8,220,"Mes de noviembre"
