990,"",2005-09-16 00:00:00
991,"",2005-07-14 00:00:00
1038,"",2010-01-29 00:00:00
3462,"",2008-06-30 00:00:00
3464,"",2008-07-03 00:00:00
3495,"",2011-03-16 00:00:00
3498,"",2008-07-23 00:00:00
3508,"",2008-08-14 00:00:00
2490,"",2006-03-27 00:00:00
2491,"",2009-04-30 00:00:00
2501,"",2008-07-31 00:00:00
2504,"",2008-07-31 00:00:00
2507,"",2006-07-29 00:00:00
2525,"",2008-11-11 00:00:00
2567,"",2009-03-01 00:00:00
2568,"",2008-09-01 00:00:00
3411,"",2008-07-05 00:00:00
3412,"",2008-11-27 00:00:00
3438,"",2008-07-15 00:00:00
3446,"",2008-07-16 00:00:00
3449,"",2008-06-27 00:00:00
3452,"",2010-02-08 00:00:00
3454,"",2008-06-30 00:00:00
3455,"",2009-03-21 00:00:00
2002,"",2008-07-31 00:00:00
2004,"",2005-03-03 00:00:00
2026,"",2005-06-16 00:00:00
2034,"",2006-05-12 00:00:00
3119,"",2007-07-06 00:00:00
3134,"",2007-07-31 00:00:00
3156,"",2009-01-15 00:00:00
3164,"",2009-03-23 00:00:00
3168,"",2010-10-28 00:00:00
3175,"",2011-07-30 00:00:00
2591,"",2008-08-25 00:00:00
2592,"",2006-05-11 00:00:00
2599,"",2018-02-25 00:00:00
2602,"",2008-07-31 00:00:00
2605,"",2008-07-31 00:00:00
3538,"",2008-09-22 00:00:00
3540,"",2008-09-28 00:00:00
3551,"",2008-10-23 00:00:00
3555,"",2009-01-02 00:00:00
3557,"",2008-12-29 00:00:00
3560,"",2008-11-19 00:00:00
3587,"",2008-12-28 00:00:00
3360,"",2008-10-30 00:00:00
3364,"",2008-12-01 00:00:00
3370,"",2008-04-01 00:00:00
3387,"",2008-03-11 00:00:00
3399,"",2010-03-30 00:00:00
3407,"",2009-10-05 00:00:00
2872,"",2007-07-31 00:00:00
2875,"",2010-02-12 00:00:00
2877,"",2010-04-09 00:00:00
2898,"",2012-09-21 00:00:00
2899,"",2008-12-09 00:00:00
2915,"",2007-04-10 00:00:00
2936,"",2007-06-25 00:00:00
3605,"",2009-01-11 00:00:00
3608,"",2011-05-31 00:00:00
3609,"",2009-01-26 00:00:00
3610,"",2009-02-03 00:00:00
3612,"",2009-03-16 00:00:00
3616,"",2009-02-20 00:00:00
